ActiePeriode,PromotieNummer,ArtikelNummer,ArtikelDatum,PromotieOmschrijving,StartDatumPromotie,EindDatumPromotie,Status,VanPrijs,VoorPrijs
1113,149,308447,08/04/16,CHIVITE COL.125 VEN.T'17,2023-05-18,2023-06-01,40,40.01,33.47
1115,134,308390,08/04/16,CHIVITE FINCA RO.MAGN'17,2023-06-15,2023-06-21,40,40.82,33.74
1113,150,308471,08/04/16,CHIVITE FINCA V.CHARD'17,2023-05-18,2023-06-01,40,15.14,14.7
1113,151,308528,08/04/16,CHIVITE FINCA V.SELEC'15,2023-05-18,2023-06-01,40,24.85,18.29
1113,152,308498,08/04/16,CHIVITE FINCA V.SYR/G'15,2023-05-18,2023-06-01,40,16.93,14.07
1113,154,308536,06/04/16,CHIVITE FINCAS ROSE'17,2023-05-18,2023-06-01,40,18.09,14.95
1112,109,788589,19/08/15,CIROC PINEAPPLE VODKA70C,2023-05-11,2023-05-17,40,47.1,34.63
1115,273,788589,19/08/15,CIROC PINEAPPLE VODKA70C,2023-06-15,2023-06-21,40,47.1,39.92
1112,108,788341,20/08/14,CIROC REDBERRY 70CL,2023-05-11,2023-05-17,40,50.44,41.55
1115,272,788341,20/08/14,CIROC REDBERRY 70CL,2023-06-15,2023-06-21,40,50.44,36.18
1112,110,789356,07/03/14,CIROC VODKA 70CL,2023-05-11,2023-05-17,40,50.84,43.15
1115,225,789356,07/03/14,CIROC VODKA 70CL,2023-06-15,2023-06-21,40,50.84,42.69
1112,269,383104,23/05/14,CLEARW COVE P.G. 2016,2023-05-11,2023-05-17,40,12.6,12.47
1113,738,383104,23/05/14,CLEARW COVE P.G. 2016,2023-05-18,2023-06-01,40,12.6,9.71
1113,155,389773,24/02/09,CLEARW COVE SAUV BLAN'18,2023-05-25,2023-06-01,40,17.39,15.73
1115,142,383163,18/02/14,CLEARWATER COVE ROSE '16,2023-06-15,2023-06-21,40,16.14,14.2
1113,156,383163,18/02/14,CLEARWATER COVE ROSE '16,2023-05-18,2023-06-01,40,16.14,11.7
1114,26,671622,11/03/92,COINTREAU           35CL,2023-06-01,2023-06-14,40,21.31,15.46
