ActiePeriode,PromotieNummer,ArtikelNummer,ArtikelDatum,PromotieOmschrijving,StartDatumPromotie,EindDatumPromotie,Status,VanPrijs,VoorPrijs
1116,161,660205,18/06/89,BAILEY'S IRISH CRM 70CL,2023-06-22,2023-07-05,40,26.33,25.97
1114,33,690600,18/06/89,BALLANTINES         35CL,2023-06-01,2023-06-14,40,17.14,13.4
1112,76,690899,19/10/90,BALLANTINES        100CL,2023-05-11,2023-05-17,40,39.4,37.83
1115,210,690899,19/10/90,BALLANTINES        100CL,2023-06-15,2023-06-21,40,39.4,29.27
1112,75,690848,23/01/91,BALLANTINES 12Y 70CL,2023-05-11,2023-05-17,40,48.99,37.21
1115,256,690848,23/01/91,BALLANTINES 12Y 70CL,2023-06-15,2023-06-21,40,48.99,40.47
1113,81,258997,19/05/14,BARBERA D'ASTI SUP. 2015,2023-05-18,2023-06-01,40,12.6,10.26
1113,82,258199,19/11/15,BARBERANI FORESCO 2017,2023-05-18,2023-06-01,40,17.1,14.66
1113,83,258156,19/11/15,BARBERANI ORVIETO CL'17,2023-05-18,2023-06-01,40,13.44,10.92
1113,85,258474,16/07/15,BAROLO SERRA DEI TUR.'14,2023-05-21,2023-05-24,40,38.61,27.16
1113,92,219347,20/07/16,BAUMG.BLAUER ZWEIGELT'18,2023-05-18,2023-06-01,40,7.55,6.41
1112,133,219819,03/06/15,BAUMGARTNER GRUN.VELT'18,2023-05-11,2023-05-17,40,8.95,7.26
1114,146,801445,29/08/90,BAVARIA PILS     12X30CL,2023-06-01,2023-06-14,40,10.99,10.93
1112,112,801445,29/08/90,BAVARIA PILS     12X30CL,2023-05-11,2023-05-17,40,10.99,9.85
1114,123,770299,22/07/99,BEEFEATER GIN       70CL,2023-06-01,2023-06-14,40,28.75,24.1
1115,235,991457,29/10/97,BELGIE GV         6X30CL,2023-06-15,2023-06-21,40,16.66,15.2
1113,93,115592,20/10/16,BELLINI CIPRIANI,2023-05-18,2023-06-01,40,13.31,9.45
1112,311,789267,08/12/11,BELVEDERE PURE 70CL,2023-05-11,2023-05-17,40,52.87,41.29
1115,224,789267,08/12/11,BELVEDERE PURE 70CL,2023-06-15,2023-06-21,40,52.87,47.12
1112,315,788295,07/12/15,BELVEDERE VODKA 70CL,2023-05-11,2023-05-17,40,61.55,59.29
1115,387,788295,07/12/15,BELVEDERE VODKA 70CL,2023-06-15,2023-06-21,40,61.55,46.14
1112,205,703664,23/05/16,BENRIACH 10YO 70CL,2023-05-11,2023-05-17,40,63.22,58.62
1115,91,703664,23/05/16,BENRIACH 10YO 70CL,2023-06-15,2023-06-21,40,63.22,47.26
1113,95,799386,01/02/96,BERENTZEN APFEL    100CL,2023-05-18,2023-06-01,40,21.36,18.68
1116,213,799386,01/02/96,BERENTZEN APFEL    100CL,2023-06-22,2023-07-05,40,21.36,15.76
1115,226,799386,01/02/96,BERENTZEN APFEL    100CL,2023-06-15,2023-06-21,40,21.36,15.48
1113,826,384585,23/08/00,BEYERSKLOOF PINOTAGE,2023-05-18,2023-06-01,40,17.16,13.35
1113,828,384593,12/02/04,BEYERSKLOOF SYNERGY,2023-05-18,2023-06-01,40,16.41,12.92
1115,275,908045,08/06/15,BIER&BOX BELGIË BOX,2023-06-15,2023-06-21,40,18.56,14.21
1115,277,992534,15/12/97,BIG CHOUFFE 150CL,2023-06-15,2023-06-21,40,17.5,17.45
1115,78,712558,23/09/16,BIG PEAT 70CL,2023-06-15,2023-06-21,40,77.62,60.95
1112,63,512060,18/06/89,BOKMA J.JEN.VIERK. 100CL,2023-05-11,2023-05-17,40,28.74,25.95
1114,364,380431,16/12/99,BOLAND 5 CLIM PINOTAGE,2023-06-01,2023-06-14,40,10.09,9.55
1112,267,380431,16/12/99,BOLAND 5 CLIM PINOTAGE,2023-05-11,2023-05-17,40,10.09,7.62
1116,308,380431,16/12/99,BOLAND 5 CLIM PINOTAGE,2023-06-22,2023-07-05,40,10.09,8.25
1115,399,380431,16/12/99,BOLAND 5 CLIM PINOTAGE,2023-06-15,2023-06-21,40,10.09,9.5
1112,266,380423,16/12/99,BOLAND CHARDONNAY '19,2023-05-11,2023-05-17,40,15.18,13.02
1115,238,530662,18/06/89,BOLS CORENWIJN     100CL,2023-06-15,2023-06-21,40,33.45,29.78
1116,155,530662,18/06/89,BOLS CORENWIJN     100CL,2023-06-22,2023-07-05,40,33.45,28.56
1112,66,530662,18/06/89,BOLS CORENWIJN     100CL,2023-05-11,2023-05-17,40,33.45,24.63
1115,251,529818,06/10/08,BOLS CORENWIJN 6Y 100CL,2023-06-15,2023-06-21,40,34.0,24.26
1116,152,511005,17/04/90,BOLS J.JEN.        100CL,2023-06-22,2023-07-05,40,24.89,23.15
1115,237,511005,17/04/90,BOLS J.JEN.        100CL,2023-06-15,2023-06-21,40,24.89,19.89
1113,102,511005,17/04/90,BOLS J.JEN.        100CL,2023-05-18,2023-06-01,40,24.89,18.23
1115,240,789836,25/03/14,BOLS VODKA 70CL,2023-06-15,2023-06-21,40,18.98,13.76
1113,103,789836,25/03/14,BOLS VODKA 70CL,2023-05-18,2023-06-01,40,18.98,18.74
1115,252,530298,13/08/02,BOLS Z.OUDE GENEVER 100C,2023-06-15,2023-06-21,40,22.71,21.43
1114,132,779970,17/09/14,BOMBAY DRY GIN      70CL,2023-06-01,2023-06-14,40,18.18,16.6
1114,128,779067,25/07/13,BOMBAY SAPPHIRE EAST GIN,2023-06-01,2023-06-14,40,30.97,22.34
